2024-08-29 23:31:42,925 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,925 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,929 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,932 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,934 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,935 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,936 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,938 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,939 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,940 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,940 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,942 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,943 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,944 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,946 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,946 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,946 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
